State,Second Dose
Andaman and Nicobar Islands,4118554.0
Andhra Pradesh,358817595.0
Arunachal Pradesh,11932317.0
Assam,130788792.0
Bihar,270790571.0
Chandigarh,11593735.0
Chhattisgarh,172120400.0
Dadra and Nagar Haveli and Daman and Diu,4594416.0
Delhi,188218946.0
Goa,16198174.0
Gujarat,600418376.0
Haryana,158656058.0
Himachal Pradesh,73838582.0
India,6759621451.0
Jammu and Kashmir,85951651.0
Jharkhand,122121060.0
Karnataka,427187178.0
Kerala,364048753.0
Ladakh,5453762.0
Lakshadweep,1056446.0
Madhya Pradesh,316932957.0
Maharashtra,712881086.0
Manipur,11858150.0
Meghalaya,12166633.0
Mizoram,9998418.0
Nagaland,9204637.0
Odisha,251302794.0
Puducherry,8608859.0
Punjab,121120995.0
Rajasthan,491702988.0
Sikkim,9723640.0
Tamil Nadu,290670622.0
Telangana,198152946.0
Tripura,65270138.0
Uttar Pradesh,554435112.0
Uttarakhand,100085040.0
West Bengal,586146880.0
